title,date,paragraph
"An Ex-President, a Senator and the Center of the (Legal) Universe",2024-05-18T07:00:38+0000,"At one corner of Baxter Street in Lower Manhattan this week, former President Donald J. Trump transformed a shabby New York courthouse where he’s on trial into the backdrop for his comeback campaign. He vented to a lineup of cameras. The speaker of the House stopped by. Supporters waved purple and red Trump flags through a spring mist."
U.S. Allows Americans to Hold Foreign Conferences With Speakers Under Sanctions,2024-11-12T17:39:38+0000,The Biden administration will allow Americans to hear from speakers who are subject to U.S. sanctions — including members of Hamas and Hezbollah — at overseas conferences sponsored by American organizations.
Brittney Griner Announces Birth of Her Son,2024-07-20T18:53:31+0000,"Brittney Griner, the W.N.B.A. center and two-time Olympic gold medal winner, announced on Friday that she and her wife, Cherelle Griner, have welcomed their first child, less than two years after the basketball star was released from a penal colony in Russia and made her return to the sport for the Phoenix Mercury."
U.S. Defense Secretary Is Released From the Hospital After 2 Weeks,2024-01-15T17:39:37+0000,"Defense Secretary Lloyd J. Austin III was released from the hospital on Monday, after a two-week stay for complications from prostate cancer surgery that he had kept secret from the White House for several days, the Pentagon announced."
"Obama Tears Into Trump in North Carolina, Which Has Eluded Democrats",2024-10-25T21:41:58+0000,"Former President Barack Obama offered a stark warning on Friday night of dangers posed by a second Donald Trump presidency, pleading with North Carolina voters to cast their ballots over the final days of early voting in the state."
Trump’s Team Plans to Go After Kamala Harris at Republican Convention,2024-07-11T21:13:41+0000,"Senior advisers to former President Donald J. Trump have been working more attacks on Vice President Kamala Harris into the speeches and messaging planned for the Republican National Convention next week, according to two people briefed on the deliberations who were not authorized to discuss them publicly."
"As U.S. and Militias Engage, White House Worries About a Tipping Point",2024-01-21T21:30:00+0000,"Another day, another barrage of rockets and another spark that American officials fear could set off a wildfire of violence across the Middle East."
Kenyan President’s State Visit: An Antidote to U.S. Troubles in Africa?,2024-05-22T09:04:12+0000,"As other African nations move away from the United States, disillusioned with democracy or lured by rival powers, President William Ruto of Kenya arrives in Washington on Wednesday for a three-day state visit intended to showcase a stalwart American ally on the continent."
U.S. and Niger Announce Withdrawal of American Personnel by September,2024-05-19T18:33:09+0000,"The withdrawal of 1,000 U.S. military personnel in Niger is underway, and all American troops will leave the West African country by Sept. 15, the U.S. and Nigerien governments said on Sunday."
Trump Courts Black Voters Even as He Traffics in Stereotypes,2024-03-12T19:50:56+0000,"He has repeatedly accused three Black prosecutors investigating him of “reverse racism.” He told a gathering of Black Republicans that Black people like him because he, too, has been charged by the criminal justice system. And he has suggested that Black people relate to his mug shot."
