title,date,paragraph,,,,,
"An Ex-President, a Senator and the Center of the (Legal) Universe",2024-05-18T07:00:38+0000,"At one corner of Baxter Street in Lower Manhattan this week, former President Donald J. Trump transformed a shabby New York courthouse where he?™s on trial into the backdrop for his comeback campaign. He vented to a lineup of cameras. The speaker of the House stopped by. Supporters waved purple and red Trump flags through a spring mist.",,,,,
"Stormy Daniels, Echoing Trump?™s Style, Pushes Back at Lawyer?™s Attacks",2024-05-09T20:25:27+0000,"Donald J. Trump, the onetime president, and Stormy Daniels, the longtime porn star, despise one another. But when Ms. Daniels returned to the witness stand at Mr. Trump?™s criminal trial on Thursday, his lawyers made them sound a lot alike.",,,,,
What We Know About Trump?™s Quest for a Half-Billion-Dollar Bond,2024-03-19T07:00:37+0000,Here?™s the latest on Trump?™s bond in the N.Y. civil fraud case.,,,,,
U.S. Allows Americans to Hold Foreign Conferences With Speakers Under Sanctions,2024-11-12T17:39:38+0000,The Biden administration will allow Americans to hear from speakers who are subject to U.S. sanctions ??including members of Hamas and Hezbollah ??at overseas conferences sponsored by American organizations.,,,,,
"Obama Tears Into Trump in North Carolina, Which Has Eluded Democrats",2024-10-25T21:41:58+0000,"Former President Barack Obama offered a stark warning on Friday night of dangers posed by a second Donald Trump presidency, pleading with North Carolina voters to cast their ballots over the final days of early voting in the state.",,,,,
Trump?™s Team Plans to Go After Kamala Harris at Republican Convention,2024-07-11T21:13:41+0000,"Senior advisers to former President Donald J. Trump have been working more attacks on Vice President Kamala Harris into the speeches and messaging planned for the Republican National Convention next week, according to two people briefed on the deliberations who were not authorized to discuss them publicly.",,,,,
Trump Courts Black Voters Even as He Traffics in Stereotypes,2024-03-12T19:50:56+0000,"He has repeatedly accused three Black prosecutors investigating him of ?œreverse racism.??He told a gathering of Black Republicans that Black people like him because he, too, has been charged by the criminal justice system. And he has suggested that Black people relate to his mug shot.",,,,,
"Accused of Running a ?˜Basement??Campaign, Nikki Haley Takes Questions",2024-01-18T22:29:18+0000,"Nikki Haley, battling attacks from Donald J. Trump that she is too liberal and accusations from Ron DeSantis that she has been hiding from voters and reporters, hit back on Thursday, taking questions and defending her conservative credentials.",,,,,
Trump and His Allies Adapt to a New Role: Fighting for Attention,2024-07-25T09:03:38+0000,"Follow the latest news about the 2024 election, and the Trump and Harris campaigns.",,,,,
Stephen Colbert Scoffs at Supreme Court?™s Ruling on Trump,2024-03-05T08:55:00+0000,"Welcome to Best of Late Night, a rundown of the previous night?™s highlights that lets you sleep ??and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",,,,,
Taiwan?™s Doubts About America Are Growing. That Could Be Dangerous.,2024-01-20T10:04:34+0000,"The collection of American memorabilia, vast and well-lit in a busy area of City Hall in the southern Taiwanese city of Tainan, reflected decades of eager courtship. Maps highlighted sister cities in Ohio and Arizona.",,,,,
He Said He Was Ashamed of Storming the Capitol. Now He?™s Running for Office.,2024-06-10T09:00:27+0000,"More than two years after Elias Irizarry breached the U.S. Capitol with other Trump supporters, he wrote a letter to Judge Tanya S. Chutkan as he waited for her to determine his sentence.",,,,,
"?˜This Helps Netanyahu?? Israelis Rally Around Leader Over Warrant, for Now",2024-11-22T10:27:01+0000,"The more Prime Minister Benjamin Netanyahu of Israel is cast as an international pariah, the more many Israelis appear to embrace him.",,,,,
Why I Won?™t Vote,2024-07-04T09:03:11+0000,"Abstinence is having what I believe is called a moment. Everywhere a vast literature of self-denial proclaims the benefits of not drinking, not eating carbohydrates, not having sex, not watering one?™s lawn. Practically the only thing from which the American people are not serially asked to refrain happens to be the one vice that I have managed to renounce, in my case with very little difficulty. I mean, of course, voting.",,,,,
Biden Uses NATO Summit to Assail Trump on Foreign Policy,2024-07-12T04:21:08+0000,"President Biden used the closing of the NATO summit to issue a blistering attack on Donald J. Trump?™s rejection of the value of alliances, and he declared for the first time that he had developed a strategy to interrupt the growing military and technological relationship between Russia and China.",,,,,
